Date,Cumulative,Daily,pm25,pm10,o3,no2,so2,co
5/13/2020,68134,0,139,65,40,20,7,11
5/12/2020,68134,0,99,88,82,36,7,10
5/11/2020,68134,0,99,70,74,28,5,6
5/10/2020,68134,5,72,72,62,34,5,11
5/9/2020,68129,1,79,31,54,13,3,8
5/8/2020,68128,0,80,29,38,8,3,9
5/7/2020,68128,0,119,29,35,12,2,11
5/6/2020,68128,0,121,49,39,17,5,16
5/5/2020,68128,0,127,52,34,16,6,15
5/4/2020,68128,0,132,44,37,9,2,10
5/3/2020,68128,0,112,72,65,35,6,14
5/2/2020,68128,0,136,58,73,23,4,7
5/1/2020,68128,0,150,67,59,23,4,9
4/30/2020,68128,0,148,58,69,17,5,10
4/29/2020,68128,0,130,71,51,34,6,10
4/28/2020,68128,0,109,73,84,42,7,9
4/27/2020,68128,0,110,59,82,32,8,13
4/26/2020,68128,0,99,62,66,28,4,7
4/25/2020,68128,0,88,57,59,28,5,6
4/24/2020,68128,0,96,51,56,30,5,5
4/23/2020,68128,0,135,54,53,24,4,6
4/22/2020,68128,0,132,64,55,26,6,10
4/21/2020,68128,0,109,58,55,25,9,11
4/20/2020,68128,0,135,52,37,17,4,7
4/19/2020,68128,0,84,49,33,26,4,9
4/18/2020,68128,0,116,27,61,10,2,7
4/17/2020,68128,325,118,55,42,14,3,10
4/16/2020,67803,0,134,74,47,13,6,7
4/15/2020,67803,0,100,63,72,24,12,9
4/14/2020,67803,0,107,50,68,30,9,7
4/13/2020,67803,0,101,51,57,30,10,7
4/12/2020,67803,0,111,46,63,28,3,6
4/11/2020,67803,0,47,46,65,15,3,5
4/10/2020,67803,0,119,21,39,4,2,4
4/9/2020,67803,0,126,60,25,13,3,6
4/8/2020,67803,0,105,61,94,38,6,8
4/7/2020,67803,0,112,55,70,30,4,7
4/6/2020,67803,0,100,55,62,23,6,8
4/5/2020,67803,0,151,55,52,17,5,7
4/4/2020,67803,1,150,64,85,20,5,9
4/3/2020,67802,0,156,60,61,18,5,10
4/2/2020,67802,0,121,62,43,15,4,9
4/1/2020,67802,1,101,46,45,13,3,8
3/31/2020,67801,0,91,39,39,15,4,10
3/30/2020,67801,0,71,37,23,13,4,7
3/29/2020,67801,0,62,24,30,8,3,7
3/28/2020,67801,0,62,18,29,10,4,8
3/27/2020,67801,0,59,19,35,9,5,8
3/26/2020,67801,0,99,21,26,6,3,6
3/25/2020,67801,0,111,52,36,13,6,13
3/24/2020,67801,1,127,42,25,12,6,11
3/23/2020,67800,0,147,54,39,13,8,11
3/22/2020,67800,0,145,64,66,17,8,14
3/21/2020,67800,0,139,70,46,9,4,11
3/20/2020,67800,0,111,62,36,19,8,14
3/19/2020,67800,0,113,76,62,18,10,8
3/18/2020,67800,1,136,57,57,19,5,8
3/17/2020,67799,1,142,62,49,16,6,8
3/16/2020,67798,4,142,64,59,25,6,9
3/15/2020,67794,4,107,68,41,22,8,11
3/14/2020,67790,4,148,67,52,19,4,6
3/13/2020,67786,5,157,65,45,11,4,8
3/12/2020,67781,8,153,74,33,16,3,10
3/11/2020,67773,13,138,58,30,19,13,13
3/10/2020,67760,17,138,61,46,20,6,10
3/9/2020,67743,36,146,49,40,11,3,8
3/8/2020,67707,41,115,49,37,8,3,9
3/7/2020,67666,74,130,34,31,14,7,13
3/6/2020,67592,126,146,44,44,14,6,12
3/5/2020,67466,134,155,49,34,12,9,9
3/4/2020,67332,115,124,55,52,15,6,9
3/3/2020,67217,114,93,41,43,15,6,12
3/2/2020,67103,196,106,29,23,10,2,10
3/1/2020,66907,570,111,39,29,10,5,13
2/29/2020,66337,423,83,39,34,8,3,12
2/28/2020,65914,318,66,20,36,11,4,14
2/27/2020,65596,409,123,17,17,9,3,13
2/26/2020,65187,401,147,46,26,12,5,13
2/25/2020,64786,499,160,57,27,9,4,16
2/24/2020,64287,203,131,72,43,15,4,14
2/23/2020,64084,0,128,55,43,12,9,14
2/22/2020,64084,1422,144,60,43,15,8,12
2/21/2020,62662,220,140,53,42,14,6,13
2/20/2020,62442,411,128,49,33,14,4,11
2/19/2020,62031,349,100,49,42,20,6,14
2/18/2020,61682,1693,89,34,37,13,7,11
2/17/2020,59989,1807,72,29,43,17,5,10
2/16/2020,58182,1933,69,26,36,13,3,8
2/15/2020,56249,1843,83,23,33,7,3,8
2/14/2020,54406,6200,101,27,23,6,2,10
2/13/2020,48206,14840,105,39,19,10,5,14
2/12/2020,33366,0,105,36,21,14,6,14
2/11/2020,33366,1638,113,34,23,15,5,11
2/10/2020,31728,2097,141,36,24,10,4,11
2/9/2020,29631,2531,109,45,25,20,5,10
2/8/2020,27100,2147,93,36,34,13,3,9
2/7/2020,24953,2841,81,28,23,10,3,8
2/6/2020,22112,2447,122,20,19,6,2,7
2/5/2020,19665,2987,184,47,22,10,4,12
2/4/2020,16678,3156,166,80,39,25,8,15
2/3/2020,13522,2345,166,67,46,26,6,10
2/2/2020,11177,4024,160,67,40,20,6,12
2/1/2020,7153,1347,164,61,31,23,4,9
1/31/2020,5806,903,168,63,40,23,6,11
1/30/2020,4903,1349,153,68,45,22,5,10
1/29/2020,3554,0,154,55,42,20,4,8
1/28/2020,3554,2131,154,54,35,15,4,7
1/27/2020,1423,365,137,55,33,9,2,7
1/26/2020,1058,297,104,45,28,6,2,8
1/25/2020,761,212,131,32,30,6,3,5
1/24/2020,549,105,116,46,23,7,2,7
1/23/2020,444,0,174,39,28,7,2,5
1/22/2020,444,444,173,71,21,12,3,12
1/21/2020,0,0,176,73,21,17,3,11
1/20/2020,0,0,186,79,23,26,4,13
1/19/2020,0,0,184,95,25,44,5,18
1/18/2020,0,0,158,85,32,27,4,11
1/17/2020,0,0,142,61,26,29,5,13
1/16/2020,0,0,159,46,19,19,3,8
1/15/2020,0,0,177,54,18,15,2,9
1/14/2020,0,0,187,77,28,22,5,14
1/13/2020,0,0,145,89,32,22,5,13
1/12/2020,0,0,163,58,24,27,4,11
1/11/2020,0,0,119,70,15,33,4,15
1/10/2020,0,0,105,39,14,19,2,7
1/9/2020,0,0,71,31,14,16,2,8
1/8/2020,0,0,129,22,19,18,3,8
1/7/2020,0,0,71,49,21,20,5,12
1/6/2020,0,0,70,23,19,20,2,13
1/5/2020,0,0,165,29,5,21,3,14
1/4/2020,0,0,194,82,2,22,4,14
1/3/2020,0,0,182,104,3,27,3,13
1/2/2020,0,0,165,86,5,25,3,9
1/1/2020,0,0,136,81,4,24,4,11
